Event,MoveScores
1,82 24 72 25 77 19 88 16 103 52 88 36 67 31 75 42 70 39 69 0 62 -30 61 13 55 -29 69 -61 4 -45 3 -86 -41 -120 -72 -165 -135 -175 -134 -193 -136 -165 -110 -150 -80 -121 8 -53 0 0 0 -91 0 -128 -77 -80 -104 -88 -84 -74 -65 -99 -77 -124 -83 -261 -202 -365 -212 -260 -201 -253 -30 -276 -264 -327 -182 -242 -128 -231 -74 -101 -37 -76 -38 -46 -25 -55 -45 -46 -39 -39 -36 -34 -25 -78 -66 -75 -71 -71 -61 -63 -53 -53 -53 -62 -67 -69 -70 -69 -69 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -70 -60 -42 -51 -50 -50 -50 -50 -39 -9 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -9 -50 -9 -9 -9 -9 -9 -9 -9 -50 -50 -51 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -22 -22 -22 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -21 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8
2,94 4 50 18 87 4 66 17 71 16 68 38 85 15 68 31 59 25 41 35 87 22 54 25 68 2 59 26 51 -24 78 55 8 -29 -10 -39 -24 -21 -18 -12 0 33 38 0 13 -82 -20 -44 -11 -27 -10 -21 -9 -9 -9 -84 -43 -35 -37 -37 -39 -32 -33 -38 -34 -87 -84 -96 -41 -98 -94 -78 -54 -94 -84 -84 -82 -122 -112 -118 -112 -115 -112 -115 -72 -93 -65 -74 -47 -47 -36 -37 -30 -92 -35 -62 -50
3,92 33 71 16 89 29 72 3 96 42 89 47 86 50 64 21 62 -8 51 -9 82 38 75 17 55 29 84 51 64 32 53 20 55 20 50 25 35 0 10 -27 22 0 26 -16 0 -29 -25 -38 0 -30 0 -13 0 -40 -12 -49 0 -55 -25 -56 -23 -50 -45 -59 -50 -60 -47 -82 -33 -88 -37 -65 -40 -84 0 0 0 -23 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9
4,64 -23 38 -7 43 -3 46 -23 62 -35 9 -9 41 -4 64 1 32 -40 23 -45 27 -14 46 -37 22 -13 7 -17 60 -28 2 -55 2 -43 3 -39 19 9 27 -1 28 -7 42 -12 25 0 16 -2 33 0 18 1 16 0 15 0 0 -9 0 -38 -6 -25 0 -17 0 -39 0
5,92 18 83 14 79 8 78 6 64 -2 89 -37 30 -3 94 25 62 9 54 23 32 19 44 10 42 9 46 4 67 22 63 57 50 -24 2 -16 -9 -42 0 -58 0 -11 15 0 9 9 9 -12 0 0 0 0 9 9 9 0 0 0 0 0 21 0 0 0 0 0 0
6,81 36 59 11 95 60 111 1 39 -9 45 -2 25 0 52 -7 11 13 27 -27 25 -1 12 5 70 7 41 9 62 -6 45 -12 21 9 46 6 42 -5 45 -5 19 -8 12 -49 -19 -32 -8 -33 8 -44 4 -11 42 0 0 0 0 -30 0 -36 9 -29 0 -11 9 0 19 -48 31 0 0 -61 -43 -29 -2 -37 -28 -36 -20 -64 0 -65 -13 -37 -14 -31 -24 -60 -58 -88 -87 -90 -71 -90 -86 -99 -93 -96 -91 -106 -84 -95 -92 -106 -81 -114 -83 -107 -113 -160 -110 -160 -143 -172 -169 -216 -211 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -171 -9 -9
7,95 0 48 -2 41 18 58 24 53 1 63 8 87 38 104 32 87 38 67 30 80 23 75 -14 68 -21 31 -7 49 -29 -17 -20 34 -23 28 -7 35 -9 36 0 30 9 28 15 29 9 45 5 62 14 43 9 47 9 46 0 14 0 49 0 37 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8,90 12 81 24 75 -2 42 22 90 21 61 -23 74 -23 51 -14 18 -21 32 -29 18 -26 38 -10 36 0 47 -1 37 -10 46 0 42 -2 48 -6 79 31 85 58 68 83 128 10 128 94 127 37 51 22 39 19 21 15 12 13 28 24 17 25 43 29 50 25 74 52 52 14 22 3 13 0 16 -9 -3
9,81 -10 57 -22 32 -31 37 -31 11 -25 32 -9 45 -8 38 -27 41 -45 28 -45 27 -25 10 -50 -4 -50 -14 -18 0 -23 0 -19 0 -53 100 64 103 81 110 95 88 67 91 75 114 85 123 109 105 48 70 9 26 -2 15 -15 6 -20 0 0 0 0 0 0 48 32 51 25 62 43 66 37 65 0 48 24 77 68 61 54 56 54 44 44 44 44 43 43 91 37 37 37 111 111 111 111 111 111 111 62 111 59 111 68 111 49 56 56 50 50 49 50
10,70 12 74 0 66 -23 49 4 75 15 61 19 56 -34 45 -38 41 -23 23 -26 39 -36 26 -46 12 -47 39 -61 22 -17 41 0 18 -36 32 12 44 -73 -48 -93 -25 -94 17 -11 0 -48 116 -132 -17 -12 7 -50 0 -57 -10 -50 0 -19 0 -47 0 0 0 -10 0 -48 0 0 0 -29 0 -58 -36 -39 -26 -27 0 0 0 -66 -35 -27 0 0 0 0 0 0 93 63 139 131 147 119 126 134 148 120 137 129 125 107 107 107 107 107 107
